time,ax,ay,az,vx,vy,vz,px,py,pz
1768828273.8183525,-0.707158088684082,0.4612455368041992,9.723608016967773,-0.00018596538825477182,0.00012129636456847948,0.0025570725542820583,-4.890437680363973e-08,3.189799550033399e-08,6.724479263718391e-07
1768828273.8185577,-0.7073850631713867,0.47104454040527344,9.73783588409424,-0.0003311762598059431,0.00021799163255309395,0.00455603989098563,-1.1688770841072329e-07,7.66469683044545e-08,1.6077044900683732e-06
1768828273.8187401,-0.7070512771606445,0.4516010284423828,9.718961715698242,-0.00046013549285817135,0.0003003592403274524,0.006328683388574063,-2.008119189678267e-07,1.314295541281099e-07,2.761994401400303e-06
1768828273.8190227,-0.7123556137084961,0.48552513122558594,9.747140884399414,-0.0006613944865421217,0.0004375327214347635,0.009082504272328151,-3.876730684105982e-07,2.5504393088768545e-07,5.328038150901736e-06
1768828273.8315449,-0.6978673934936523,0.48066139221191406,9.737815856933594,-0.009400243945492548,0.006456480714177815,0.13102158270771724,-0.00011809960155646478,8.110451980818394e-05,0.001646009201694299
1768828273.832118,-0.6834993362426758,0.4759531021118164,9.738072395324709,-0.009791997238608019,0.006729277168005865,0.1366030393780875,-0.0001237119656964064,8.496146062885075e-05,0.001724304362623245
1768828273.8323822,-0.6928043365478516,0.48508262634277344,9.713857650756836,-0.009975013826078793,0.006857420371261469,0.1391691276437541,-0.0001263470430106152,8.67729701835606e-05,0.0017610683629029767
1768828273.8326395,-0.7022161483764648,0.4658222198486328,9.709230422973633,-0.010155661491126011,0.006977254836101565,0.14166686257817673,-0.00012895962396538744,8.856789443515361e-05,0.0017975126799390936
1768828273.844792,-0.7121286392211914,0.4757251739501953,9.732913017272951,-0.018809757348208223,0.01275847332703961,0.25994543976366913,-0.0003575439473228554,0.000243614391768808,0.004956482323101339
1768828273.8451946,-0.7165002822875977,0.4656686782836914,9.704255104064943,-0.019098284116125797,0.012945992972163367,0.2638532363541799,-0.0003652346158752866,0.0002488276004751831,0.005062733113745558
1768828273.8606248,-0.7118558883666992,0.45635986328125,9.718829154968263,-0.030082371401931596,0.019987722420410137,0.4138168308099921,-0.0008294119846977685,0.0005572423952364888,0.01144801455094989
1768828273.8610342,-0.7025651931762695,0.47577571868896484,9.733036041259766,-0.030369976791689623,0.020182488204909532,0.4178011921922007,-0.0008418443811457443,0.0005655043934721508,0.011619047610783894
1768828273.861349,-0.7025041580200195,0.47569847106933594,9.728246688842773,-0.030591231138714647,0.020332309886953226,0.42086511266052185,-0.0008514791182402043,0.0005719080736442759,0.01175159947488925
1768828273.8752835,-0.6832103729248047,0.4660768508911133,9.719056129455568,-0.0401113398970665,0.026826798972706456,0.5562940742918272,-0.0014104055242146049,0.0009457227198787474,0.019503209079721383
1768828273.8755586,-0.6928949356079102,0.46618175506591797,9.728512763977053,-0.04030197957308701,0.02695506190866581,0.5589707290430397,-0.001421494010987939,0.0009531390019228244,0.01965700151377377
1768828273.8757765,-0.6929788589477539,0.4710426330566406,9.733230590820312,-0.04045298977098355,0.027057708966822247,0.5610917419119232,-0.0014303093073161687,0.000959035271243235,0.019779271585782736
1768828273.8907924,-0.7069149017333984,0.4609346389770508,9.704448699951172,-0.05106791120397247,0.03397903000063707,0.706812196025794,-0.0021971369181754173,0.001469258967110326,0.03039265080624471
1768828273.8917322,-0.7119007110595703,0.4659261703491211,9.718687057495117,-0.05173698826729378,0.0344169288662215,0.7159462655592961,-0.0022457617216588253,0.0015016055813735375,0.03106553006793741
1768828273.8926167,-0.7072935104370117,0.4899454116821289,9.723180770874023,-0.05236261266736619,0.03485030171600556,0.7245467391205693,-0.0022920781767836636,0.0015324318208083474,0.03170641551690279
1768828273.90211,-0.7072486877441406,0.4803791046142578,9.72332286834717,-0.05907677269215128,0.039410709160847546,0.8168536558275719,-0.0028529147148734346,0.0019065715153480439,0.0394610939731478
1768828273.9030917,-0.6927967071533203,0.4708099365234375,9.718861579895021,-0.059756800664217735,0.039872841736041664,0.8263933918897237,-0.002911570155283711,0.0019457094723075974,0.04027225634821885
1768828273.9039807,-0.6976318359375,0.4565906524658203,9.72859287261963,-0.060377039234481344,0.04027877953717507,0.8350427227017008,-0.0029652491397601293,0.0019815198401050022,0.04101466183741435
1768828273.9200914,-0.702580451965332,0.46628665924072266,9.737969398498537,-0.07169607306718717,0.04779096473521349,0.9919278235825004,-0.00412032009917772,0.002751463759299362,0.05699527240425459
1768828273.9213486,-0.692927360534668,0.4472036361694336,9.738377571105959,-0.07256720829536789,0.04835318072468908,1.0041707284678978,-0.004211550226832147,0.002812252467500123,0.05825769693314215
1768828273.9226003,-0.6927900314331055,0.45653820037841797,9.723864555358888,-0.07343437187364543,0.04892462846714807,1.0163420658138875,-0.004303467849478632,0.002873491304611722,0.05952984979700775
1768828273.933349,-0.7025957107543945,0.4567985534667969,9.742900848388672,-0.08098630955578301,0.05383458472829261,1.121064851512756,-0.005173959304962871,0.0034521390572080086,0.07157975526421985
